Date,EPAM,AAPL
2017-01-03,63.65999984741211,26.862424850463867
2017-01-04,64.36000061035156,26.832361221313477
2017-01-05,64.75,26.96881103515625
2017-01-06,66.87000274658203,27.269460678100586
2017-01-09,66.83999633789062,27.51923942565918
2017-01-10,66.94999694824219,27.546995162963867
2017-01-11,67.29000091552734,27.695009231567383
2017-01-12,66.7699966430664,27.579368591308594
2017-01-13,66.98999786376953,27.530805587768555
2017-01-17,66.66000366210938,27.752832412719727
2017-01-18,66.48999786376953,27.750516891479492
2017-01-19,65.69999694824219,27.701948165893555
2017-01-20,65.4800033569336,27.752832412719727
2017-01-23,64.48999786376953,27.77132797241211
2017-01-24,66.18000030517578,27.74589729309082
2017-01-25,66.94999694824219,28.1876220703125
2017-01-26,65.75,28.201499938964844
2017-01-27,65.76000213623047,28.203813552856445
2017-01-30,64.31999969482422,28.129804611206055
2017-01-31,64.36000061035156,28.06504249572754
2017-02-01,64.73999786376953,29.77647590637207
2017-02-02,64.0,29.7255859375
2017-02-03,65.5999984741211,29.85279083251953
2017-02-06,64.80999755859375,30.13263702392578
2017-02-07,65.83999633789062,30.41941261291504
2017-02-08,64.95999908447266,30.5373592376709
2017-02-09,65.88999938964844,30.75802993774414
2017-02-10,66.5999984741211,30.6883487701416
2017-02-13,66.80000305175781,30.96010398864746
2017-02-14,66.5,31.361942291259766
2017-02-15,67.31999969482422,31.475765228271484
2017-02-16,70.69000244140625,31.4385986328125
2017-02-17,70.23999786376953,31.524539947509766
2017-02-21,72.08999633789062,31.752168655395508
2017-02-22,73.0199966430664,31.84740447998047
2017-02-23,73.12000274658203,31.712677001953125
2017-02-24,74.33000183105469,31.742870330810547
2017-02-27,73.55000305175781,31.805591583251953
2017-02-28,73.62999725341797,31.819528579711914
2017-03-01,74.87999725341797,32.46989822387695
2017-03-02,75.45999908447266,32.27711486816406
2017-03-03,73.62000274658203,32.46757888793945
2017-03-06,73.31999969482422,32.36537170410156
2017-03-07,72.58000183105469,32.40718078613281
2017-03-08,73.31999969482422,32.286399841308594
2017-03-09,73.58000183105469,32.212059020996094
2017-03-10,73.79000091552734,32.31892395019531
2017-03-13,73.62000274658203,32.332855224609375
2017-03-14,73.3499984741211,32.28408432006836
2017-03-15,72.93000030517578,32.625526428222656
2017-03-16,73.06999969482422,32.678951263427734
2017-03-17,72.5,32.516357421875
2017-03-20,72.61000061035156,32.857810974121094
2017-03-21,72.04000091552734,32.48152160644531
2017-03-22,72.56999969482422,32.84851837158203
2017-03-23,72.86000061035156,32.73237228393555
2017-03-24,73.2699966430664,32.66733932495117
2017-03-27,73.77999877929688,32.723079681396484
2017-03-28,74.5999984741211,33.401329040527344
2017-03-29,75.37000274658203,33.47565460205078
2017-03-30,75.91999816894531,33.4315185546875
2017-03-31,75.5199966430664,33.36880874633789
2017-04-03,74.33999633789062,33.37809371948242
2017-04-04,74.30000305175781,33.62663650512695
2017-04-05,74.44000244140625,33.45243453979492
2017-04-06,74.87999725341797,33.36880874633789
2017-04-07,75.37999725341797,33.29447937011719
2017-04-10,75.12000274658203,33.2549934387207
2017-04-11,75.4800033569336,32.89728546142578
2017-04-12,74.55000305175781,32.93677520751953
2017-04-13,74.70999908447266,32.7625846862793
2017-04-17,75.5199966430664,32.943748474121094
2017-04-18,75.08999633789062,32.797420501708984
2017-04-19,75.56999969482422,32.6766242980957
2017-04-20,76.5999984741211,33.0854377746582
2017-04-21,77.0199966430664,33.045955657958984
2017-04-24,77.20999908447266,33.36416244506836
2017-04-25,76.83000183105469,33.57089614868164
2017-04-26,77.55000305175781,33.37345504760742
2017-04-27,77.13999938964844,33.39900588989258
2017-04-28,77.0,33.366477966308594
2017-05-01,77.30000305175781,34.04705810546875
2017-05-02,77.25,34.2630729675293
2017-05-03,77.75,34.15855026245117
2017-05-04,80.2699966430664,34.03544998168945
2017-05-05,80.45999908447266,34.599884033203125
2017-05-08,80.88999938964844,35.540592193603516
2017-05-09,80.61000061035156,35.76822280883789
2017-05-10,81.06999969482422,35.598663330078125
2017-05-11,80.80999755859375,35.90654373168945
2017-05-12,80.61000061035156,36.407981872558594
2017-05-15,81.44000244140625,36.31468200683594
2017-05-16,81.05999755859375,36.261051177978516
2017-05-17,80.25,35.04357147216797
2017-05-18,81.0199966430664,35.57766342163086
2017-05-19,82.16999816894531,35.69895553588867
2017-05-22,82.91000366210938,35.915855407714844
2017-05-23,82.66000366210938,35.871551513671875
2017-05-24,83.75,35.76426315307617
2017-05-25,84.9000015258789,35.887874603271484
2017-05-26,84.1500015258789,35.82722854614258
2017-05-30,83.55999755859375,35.84123992919922
2017-05-31,83.87999725341797,35.62897872924805
2017-06-01,86.45999908447266,35.726951599121094
2017-06-02,85.51000213623047,36.25638198852539
2017-06-05,84.73999786376953,35.90187454223633
2017-06-06,83.44000244140625,36.02315902709961
2017-06-07,83.54000091552734,36.23772430419922
2017-06-08,83.72000122070312,36.14910888671875
2017-06-09,81.95999908447266,34.74736404418945
2017-06-12,81.4800033569336,33.917030334472656
2017-06-13,82.73999786376953,34.18992614746094
2017-06-14,82.31999969482422,33.85639953613281
2017-06-15,81.98999786376953,33.65349578857422
2017-06-16,82.5999984741211,33.18235397338867
2017-06-19,83.55999755859375,34.13161087036133
2017-06-20,82.30000305175781,33.8214225769043
2017-06-21,83.5,34.02199935913086
2017-06-22,82.80999755859375,33.96601104736328
2017-06-23,84.62999725341797,34.11761474609375
2017-06-26,84.41999816894531,34.01033020019531
2017-06-27,82.93000030517578,33.52287292480469
2017-06-28,83.91999816894531,34.01266098022461
