Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2017-01-03,26.862424850463867,26.904054162623346,26.5409547371957,26.781479455841893,115127600
2017-01-04,26.832361221313477,26.945686551199977,26.769918128183697,26.793045134362227,84472400
2017-01-05,26.96881103515625,27.026629427433924,26.78379147407677,26.809231707837135,88774400
2017-01-06,27.269460678100586,27.327279056166805,26.936426255806566,27.00812047997608,127007600
2017-01-09,27.51923942565918,27.621000353050707,27.27640325503463,27.278714720128313,134247600
2017-01-10,27.546995162963867,27.609438250718505,27.359664135222648,27.468361231352766,97848400
2017-01-11,27.695009231567383,27.736638543580145,27.429044280623476,27.461422438358152,110354400
2017-01-12,27.579368591308594,27.5909329736576,27.33884390716078,27.498423208296593,108344800
2017-01-13,27.530805587768555,27.664944679909922,27.477611891065155,27.546994666856147,104447600
2017-01-17,27.752832412719727,27.80833758349145,27.34116568091413,27.368917384061206,137759200
2017-01-18,27.750516891479492,27.86846691354902,27.685760570179337,27.75283012137662,94852000
2017-01-19,27.701948165893555,27.77364240856541,27.60712691892213,27.614064843764268,102389200
2017-01-20,27.752832412719727,27.856904828476402,27.690389316161237,27.856904828476402,130391600
2017-01-23,27.77132797241211,27.940156673767977,27.699631972932657,27.752825665160824,88200800
2017-01-24,27.74589729309082,27.77596222936671,27.637198406164362,27.64876279329695,92844000
2017-01-25,28.1876220703125,28.238502538017904,27.817584711287722,27.84996286992256,129510400
2017-01-26,28.201499938964844,28.317136724983918,28.122866006943664,28.13905508640724,105350400
2017-01-27,28.203813552856445,28.29632334161466,28.122868149372056,28.247756099524025,82251600
2017-01-30,28.129804611206055,28.129804611206055,27.905470723071677,27.96791381266014,121510000
2017-01-31,28.06504249572754,28.074293648659214,27.896213807036187,28.018788495546154,196804000
2017-02-01,29.77647590637207,30.178893239530556,29.37406033769112,29.37868503330646,447940000
2017-02-02,29.7255859375,29.92448131050319,29.5521307934491,29.59838655721552,134841600
2017-02-03,29.85279083251953,29.87823106466775,29.6400195858955,29.674709207481992,98029200
2017-02-06,30.13263702392578,30.181206034652877,29.81116684793328,29.864362318957056,107383600
2017-02-07,30.41941261291504,30.548925248474873,30.16963673192623,30.190450506436633,152735200
2017-02-08,30.5373592376709,30.57899031342908,30.347716753974286,30.377783445968838,92016400
2017-02-09,30.75802993774414,30.764997943819264,30.456070012219065,30.579176178553418,113399600
2017-02-10,30.6883487701416,30.878817069337156,30.672091269426865,30.767325419024644,80262000
2017-02-13,30.96010398864746,31.08321367850511,30.834676356162298,30.911327954335647,92141600
2017-02-14,31.361942291259766,31.378199786796667,30.950812309837264,31.001913371675293,132904800
2017-02-15,31.475765228271484,31.652297513148813,31.269039429603797,31.4780902599708,142492400
2017-02-16,31.4385986328125,31.56634776244953,31.32013545145116,31.51292520582377,90338400
2017-02-17,31.524539947509766,31.55009048246474,31.38052977462998,31.38052977462998,88792800
2017-02-21,31.752168655395508,31.763783178937153,31.5849294403097,31.64299851376297,98028800
2017-02-22,31.84740447998047,31.849725967110256,31.615128173816,31.689454748775947,83347600
2017-02-23,31.712677001953125,31.93333873667669,31.659254455373702,31.910113237589915,83152800
2017-02-24,31.742870330810547,31.742870330810547,31.422328000376318,31.568663158923073,87106400
2017-02-27,31.805591583251953,31.92405476280785,31.654613408206412,31.85437116499644,81029600
2017-02-28,31.819528579711914,31.92405219589711,31.752166474350418,31.840432594098008,93931600
2017-03-01,32.46989822387695,32.55351782284726,31.961216169750056,32.02857472857813,145658400
2017-03-02,32.27711486816406,32.583717728429235,32.230656774687745,32.51868065066829,104844000
2017-03-03,32.46757888793945,32.4791934110598,32.191169541247426,32.23530260255185,84432400
2017-03-06,32.36537170410156,32.46525233424262,32.19348954806307,32.37233970803532,87000000
2017-03-07,32.40718078613281,32.51402586775768,32.23761658540645,32.30033216025392,69785200
2017-03-08,32.286399841308594,32.47222155644039,32.24459181613751,32.27478531956515,74828800
2017-03-09,32.212059020996094,32.23760954262955,31.833451256749914,32.22599856900336,88623600
2017-03-10,32.31892395019531,32.37002501927713,32.20278580123755,32.34447448473622,78451200
2017-03-13,32.332855224609375,32.38627777291276,32.24459265442432,32.251560658800656,69686800
2017-03-14,32.28408432006836,32.437383984943246,32.24924074839969,32.3560894062265,61236400
2017-03-15,32.625526428222656,32.69288498701873,32.29336951926755,32.38163563598722,102767200
2017-03-16,32.678951263427734,32.7556028631629,32.57907061737712,32.6859192684714,76928000
2017-03-17,32.516357421875,32.75095518664194,32.493128376381165,32.75095518664194,175540000
2017-03-20,32.857810974121094,32.86710046778444,32.57210853833222,32.61159508884858,86168000
2017-03-21,32.48152160644531,33.16906111266346,32.45597106800549,33.00878987556414,158119600
2017-03-22,32.84851837158203,32.89032995426003,32.46293881071574,32.48384637418252,103440800
2017-03-23,32.73237228393555,32.88567547622643,32.66036720568656,32.811345366901875,81385200
2017-03-24,32.66733932495117,32.922844677617626,32.59998075611463,32.867097088602634,89582400
2017-03-27,32.723079681396484,32.8020527568548,32.19813308089915,32.376986788234795,94300400
2017-03-28,33.401329040527344,33.45707307818211,32.66268864330955,32.7300507478153,133499200
2017-03-29,33.47565460205078,33.56159923128349,33.25963937410427,33.373452477074316,116760000
2017-03-30,33.4315185546875,33.563917716819425,33.331641469644204,33.49191264727578,84829200
2017-03-31,33.36880874633789,33.510497408339084,33.21782704904723,33.3827447550176,78646800
2017-04-03,33.37809371948242,33.47564931129024,33.227115586881894,33.38041875011733,79942800
2017-04-04,33.62663650512695,33.6545085232866,33.25499305647687,33.27357558333483,79565600
2017-04-05,33.45243453979492,33.78691298708864,33.40365495612494,33.49888909208457,110871600
2017-04-06,33.36880874633789,33.56856647400753,33.32002917170442,33.515140381729324,84596000
2017-04-07,33.29447937011719,33.48959058441461,33.27822187438636,33.38506697277346,66688800
2017-04-10,33.2549934387207,33.41991115132163,33.19227785288602,33.354874078698494,75733600
2017-04-11,32.89728546142578,33.296800883304705,32.53261005832819,33.20156677296345,121517600
2017-04-12,32.93677520751953,33.018069774017114,32.75327497270914,32.890320663198835,81400000
2017-04-13,32.7625846862793,33.07151270244422,32.7625846862793,32.9623425183763,71291600
2017-04-17,32.943748474121094,32.955362998120115,32.72076166380729,32.862450350383064,66328400
2017-04-18,32.797420501708984,32.992531788600814,32.77651648045398,32.84620009555989,58790000
2017-04-19,32.6766242980957,32.98323067888816,32.6232017478381,32.95535866036326,69313600
2017-04-20,33.0854377746582,33.196929409756486,32.78812438489267,32.80206039624806,93278400
2017-04-21,33.045955657958984,33.141186263072726,32.94840002113753,33.08544221017798,69283600
2017-04-24,33.36416244506836,33.43616751988348,33.2573138040735,33.33164390985331,68537200
2017-04-25,33.57089614868164,33.656837252670634,33.41759292730504,33.426885964861086,75486000
2017-04-26,33.37345504760742,33.58715234952038,33.30377499726064,33.55695529820021,80164800
2017-04-27,33.39900588989258,33.48495052654035,33.28751426405114,33.42920294149219,56985200
2017-04-28,33.366477966308594,33.51745963758495,33.27821541179334,33.468680071356246,83441600
2017-05-01,34.04705810546875,34.191068267266395,33.670771659865956,33.70329019782849,134411600
2017-05-02,34.2630729675293,34.397793635950215,34.1074482844193,34.270040972425655,181408800
2017-05-03,34.15855026245117,34.25843090905882,33.51050097999217,33.81710383638792,182788000
2017-05-04,34.03544998168945,34.17713868322075,33.86821074236545,34.033128494346656,93487600
2017-05-05,34.599884033203125,34.604527007987045,34.088873266527145,34.088873266527145,109310800
2017-05-08,35.540592193603516,35.70086339328332,34.61613359506124,34.61613359506124,195009600
2017-05-09,35.76822280883789,35.974948539944435,35.64279164275939,35.74034724734574,156521600
2017-05-10,35.598663330078125,35.75661305206817,35.3315470112741,35.68460796843865,103222800
2017-05-11,35.90654373168945,35.93453436435382,35.52403830153895,35.556691073909654,109020400
2017-05-12,36.407981872558594,36.4826152156848,36.07445399988878,36.08145076459176,130108000
2017-05-15,36.31468200683594,36.536254503682855,36.16308070869936,36.38698427391286,104038800
2017-05-16,36.261051177978516,36.39865899450321,36.08612490171975,36.37067192914475,80194000
2017-05-17,35.04357147216797,36.051148746221536,34.91762609235375,35.82491042937761,203070800
2017-05-18,35.57766342163086,35.7642521233776,35.248804794060085,35.2814575499495,134272800
2017-05-19,35.69895553588867,35.91353135092947,35.59866617447276,35.77359245879905,107843200
2017-05-22,35.915855407714844,36.053463190082915,35.66396120536059,35.918186476288035,91865600
2017-05-23,35.871551513671875,36.1281079341415,35.75726505761698,36.1281079341415,79675600
2017-05-24,35.76426315307617,35.957848679437895,35.60799609034951,35.8808806827723,76712000
2017-05-25,35.887874603271484,35.99982998529653,35.69195802305409,35.85522183990192,76942400
2017-05-26,35.82722854614258,35.97416773520595,35.7572573342608,35.918190053923794,87710400
2017-05-30,35.84123992919922,36.01849733655881,35.76194084371352,35.78293115006818,80507600
2017-05-31,35.62897872924805,35.95784094639881,35.540351845780464,35.91119465632896,97804800
2017-06-01,35.726951599121094,35.76193900012733,35.50304789177636,35.72462052927479,65616400
2017-06-02,36.25638198852539,36.25638198852539,35.65930092582861,35.82023365390689,111082800
2017-06-05,35.90187454223633,36.02315778162842,35.79225732763157,35.99750178019711,101326800
2017-06-06,36.02315902709961,36.340358892633205,35.866891943482436,35.89487901550789,106499600
2017-06-07,36.23772430419922,36.379997810268655,36.03014527654552,36.1560941816609,84278400
2017-06-08,36.14910888671875,36.27738534268204,36.01149747503491,36.209748730608396,85003200
2017-06-09,34.74736404418945,36.195755574541174,34.05699014429091,36.195755574541174,259530800
2017-06-12,33.917030334472656,34.07329734386815,33.238315689142205,33.991667236270516,289229200
